Name;Tweet Link;Timestamp;Query;Tweet Date;Twitter ID;Handle;Text;Profile URL
🌦️ｌａｄｙ ｇｕｒｌ🌦️;https://twitter.com/ladyb2504/status/1993870869400268836;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Nov 27 02:33:54 +0000 2025;1285437879380893696;ladyb2504;"EIGER WOMEN VARSHA OVERALL 1.0 

 ⋆🎀✦ ── .Rp335.300. ── ✦🎀⋆

 https://t.co/p8nYp7axMS https://t.co/ceNEr2kMTD";https://twitter.com/ladyb2504
Indonesia Asyik;https://twitter.com/Indonesiaasyik/status/1993853446471274553;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Nov 27 01:24:40 +0000 2025;3169558262;Indonesiaasyik;"ANEKA PILIHAN WARNA🎨

EIGER WOMEN SHORESIDE 2.0 PACK 22L 1A LAPTOP

Harga Produk:  Rp479.000
HARGA Diskon:  Rp359.250

https://t.co/46LYnvU7Go https://t.co/Soy5iZZz4d";https://twitter.com/Indonesiaasyik
elvina - ihsan;https://twitter.com/elvina1902/status/1981710485314789744;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Fri Oct 24 13:12:52 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN FLEXY DAYPACK 15L dengan harga Rp349.000. Dapatkan di Shopee sekarang! https://t.co/PIzUyC4tMr https://t.co/GRJMBOzo2j;https://twitter.com/elvina1902
elvina - ihsan;https://twitter.com/elvina1902/status/1991904567366496695;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Fri Nov 21 16:20:31 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN NUWIE BACKPACK 20L LAPTOP dengan harga Rp419.000. Dapatkan di Shopee sekarang! https://t.co/61ikojiKj0 https://t.co/xDeQQXqxgj;https://twitter.com/elvina1902
Harian Jogja;https://twitter.com/Harian_Jogja/status/1959945369833410946;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Aug 25 11:46:04 +0000 2025;118371948;Harian_Jogja;"Toko Pertama EIGER Women danamp; Junior Dibuka di Surabaya https://t.co/Kby4gyPjal https://t.co/gkqH8NhniH";https://twitter.com/Harian_Jogja
Harian Jogja;https://twitter.com/Harian_Jogja/status/1898372389466959923;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Sat Mar 08 13:57:02 +0000 2025;118371948;Harian_Jogja;Rayakan Hari Perempuan Internasional EIGER Women Berbagi dari Perempuan untuk Perempuan,  Serentak di Jakarta, Bandung dan Yogyakarta https://t.co/ziiXjL5f2G https://t.co/Bt7p5WUHMZ;https://twitter.com/Harian_Jogja
elvina - ihsan;https://twitter.com/elvina1902/status/1981649718108111118;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Fri Oct 24 09:11:24 +0000 2025;251598820;elvina1902;Cek EIGER WOMEN LOENIE MINI DAYPACK 12L dengan harga Rp359.000. Dapatkan di Shopee sekarang! https://t.co/Ajqisi1e3n https://t.co/Y2JMtmrTFW;https://twitter.com/elvina1902
Winda Susanti 윈다 수산티;https://twitter.com/weendanizz/status/1998095471429222696;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Mon Dec 08 18:20:57 +0000 2025;62197539;weendanizz;EIGER WOMEN CALDERA ROLL STRAP 3.0 SANDALS https://t.co/uBSEsPChzt;https://twitter.com/weendanizz
yaelah masa ga tau;https://twitter.com/tukangsambatttt/status/1780251391359177010;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Tue Apr 16 15:06:21 +0000 2024;1284086456609157123;tukangsambatttt;"Preloved dry fit eiger women series. Kaos panjang eiger cewek. Baru sekali kepake ternyata kekecilan. Sizenya L ini warna hitam. Sayang bngt gak kepake padahal carinya sudah

📍Semarang
🔸️170k belinya 199k

#zonauang #eigerpreloved https://t.co/im4H5wrkPW";https://twitter.com/tukangsambatttt
EIGER;https://twitter.com/eigeradventure/status/1851922798106820795;Today at 19:31;https://x.com/search?q=%22Eiger%20Women%22%20until%3A2025-12-31%20since%3A2024-01-01&src=typed_query;Thu Oct 31 09:42:56 +0000 2024;67260968;eigeradventure;"EIGER Women Jungle Survival Course 2024

📆 6 - 12 Desember 2024
📌 Kawasan Gn. Cakrabuana,Kab. Tasikmalaya, Jawa Barat
📑 Kuota terbatas (melalui tahap seleksi) https://t.co/IqhpRXaXus";https://twitter.com/eigeradventure
