favorite_count,full_text,lang,quote_count,reply_count,retweet_count,username,remove_user,cleaning,tokenized_Content
39,My favs r 1. Powder/Jinx 2. Vi 3. Viktor i rly love everyone in the story tho and everyone has their place in it and is important theres no one i fully hate (theres def some actions i don't like obv but that's what makes a good story!!!) ive been a powder lover 4ever tho,en,0.0,3.0,1.0,dreamydesu,My favs r 1. Powder/Jinx 2. Vi 3. Viktor i rly love everyone in the story tho and everyone has their place in it and is important theres no one i fully hate (theres def some actions i don't like obv but that's what makes a good story!!!) ive been a powder lover 4ever tho,My favs r Powder Jinx Vi Viktor i rly love everyone in the story tho and everyone has their place in it and is important theres no one i fully hate theres def some actions i don t like obv but that s what makes a good story ive been a powder lover ever tho,"['""My""', '""favs""', '""r""', '""1""', '"".""', '""Powder/Jinx""', '""2""', '"".""', '""Vi""', '""3""', '"".""', '""Viktor""', '""i""', '""rly""', '""love""', '""everyone""', '""in""', '""the""', '""story""', '""tho""', '""and""', '""everyone""', '""has""', '""their""', '""place""', '""in""', '""it""', '""and""', '""is""', '""important""', '""theres""', '""no""', '""one""', '""i""', '""fully""', '""hate""', '""(""', '""theres""', '""def""', '""some""', '""actions""', '""i""', '""do""', '""n\'t""', '""like""', '""obv""', '""but""', '""that""', '""\'s""', '""what""', '""makes""', '""a""', '""good""', '""story""', '""!""', '""!""', '""!""', '"")""', '""ive""', '""been""', '""a""', '""powder""', '""lover""', '""4ever""', '""tho""']"
43,I hate ep 6 cause I cried,en,0.0,1.0,12.0,CorruptedJinx,I hate ep 6 cause I cried,I hate ep cause I cried,"['""I""', '""hate""', '""ep""', '""6""', '""cause""', '""I""', '""cried""']"
4,why does everyone try to jinx eth by commenting on it finally making a smol move just let it happen fellas,en,0.0,1.0,0.0,ooloo,why does everyone try to jinx eth by commenting on it finally making a smol move just let it happen fellas,why does everyone try to jinx eth by commenting on it finally making a smol move just let it happen fellas,"['""why""', '""does""', '""everyone""', '""try""', '""to""', '""jinx""', '""eth""', '""by""', '""commenting""', '""on""', '""it""', '""finally""', '""making""', '""a""', '""smol""', '""move""', '""just""', '""let""', '""it""', '""happen""', '""fellas""']"
32,It's not enough to give people what they need to survive you have to give them what they need to LIVE. -Ekko,en,0.0,1.0,0.0,Married2TheReal,It's not enough to give people what they need to survive you have to give them what they need to LIVE. -Ekko,It s not enough to give people what they need to survive you have to give them what they need to LIVE Ekko,"['""It""', '""\'s""', '""not""', '""enough""', '""to""', '""give""', '""people""', '""what""', '""they""', '""need""', '""to""', '""survive""', '""you""', '""have""', '""to""', '""give""', '""them""', '""what""', '""they""', '""need""', '""to""', '""LIVE""', '"".""', '""-Ekko""']"
103,a character ill always defend with my life is ekko my boy does no wrong,en,0.0,5.0,15.0,caitvican0n,a character ill always defend with my life is ekko my boy does no wrong,a character ill always defend with my life is ekko my boy does no wrong,"['""a""', '""character""', '""ill""', '""always""', '""defend""', '""with""', '""my""', '""life""', '""is""', '""ekko""', '""my""', '""boy""', '""does""', '""no""', '""wrong""']"
16,i- i think i m starting to like jinx ,en,0.0,6.0,5.0,timistrator,i- i think i m starting to like jinx ,i i think i m starting to like jinx ,"['""i-""', '""i""', '""think""', '""i""', '""m""', '""starting""', '""to""', '""like""', '""jinx""']"
51,Won't even say anything Don't wanna jinx it,en,1.0,28.0,4.0,daumeneth,Won't even say anything Don't wanna jinx it,Won t even say anything Don t wanna jinx it,"['""Wo""', '""n\'t""', '""even""', '""say""', '""anything""', '""Do""', '""n\'t""', '""wan""', '""na""', '""jinx""', '""it""']"
32,Y'all need to stop with the #MV4 and #VERST4PPEN posts already like can we not jinx it ffs ,en,1.0,0.0,8.0,aditstappen,Y'all need to stop with the #MV4 and #VERST4PPEN posts already like can we not jinx it ffs ,Y all need to stop with the MV and VERST PPEN posts already like can we not jinx it ffs ,"['""Y\'all""', '""need""', '""to""', '""stop""', '""with""', '""the""', '""#""', '""MV4""', '""and""', '""#""', '""VERST4PPEN""', '""posts""', '""already""', '""like""', '""can""', '""we""', '""not""', '""jinx""', '""it""', '""ffs""']"
37,if jinx dies i die,en,0.0,4.0,5.0,jinixed,if jinx dies i die,if jinx dies i die,"['""if""', '""jinx""', '""dies""', '""i""', '""die""']"
10,oomf please read vicious please please please please please please please please,en,0.0,7.0,2.0,envienotivy,oomf please read vicious please please please please please please please please,oomf please read vicious please please please please please please please please,"['""oomf""', '""please""', '""read""', '""vicious""', '""please""', '""please""', '""please""', '""please""', '""please""', '""please""', '""please""', '""please""']"
