tweet_date,twitter_id,handle,Text,profile_url,name,tweet_link,timestamp,query
Wed Dec 17 13:02:14 +0000 2025,1731203207664410624,lilyypeachh,"gpp bisa ko ak mau sewa samsung perhari nnti, yu jastip ke ak",https://twitter.com/lilyypeachh,olap aja🌷,https://twitter.com/lilyypeachh/status/2001276753420198204,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 13:00:36 +0000 2025,1827302333363130368,minnochan25_,"Bismillah semoga rezeky nya nular, kepengen beli hp dulu, Hp samsung a36 bismillah yaallah tolong lancarin dan sehatkan selalu fisik dan mentalku ini, aamiin",https://twitter.com/minnochan25_,𝚂𝚑𝚊🐰 | rest,https://twitter.com/minnochan25_/status/2001276343947071759,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:59:02 +0000 2025,1690885847724556288,ayayyayay73108,"WTS hp Samsung a21s minus : retak sedikit bagian atas, no box ( box hilang ) price: 1.300.000 NETT dijual karena mau ganti hp minat dm 💌 #zonauang #zonajajan #jualbelihp https://t.co/Kr9QF7UtyN",https://twitter.com/ayayyayay73108,chillhep,https://twitter.com/ayayyayay73108/status/2001275946742243610,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:55:06 +0000 2025,1664726724548993026,chrimty,"@lizkimm IYA JUGA YA, ada yang tau kenapa aku gemeteran? Kamu nggak apa tah kalau aku peluk sampai nggak bisa napas? 🥹 MAKASIH MY LILIZ, nanti aku kirimin Samsung yak",https://twitter.com/chrimty,nona christy.,https://twitter.com/chrimty/status/2001274959805747481,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:53:35 +0000 2025,1266722099801935872,lenotheruniver,"2025 masih ada aja orang yg buat story pake foto pinterest terus bikin seolah"" pacarnya. Terimakasih fitur ai circle samsung sdh memperlancar bahan gibahanku🙏🏻",https://twitter.com/lenotheruniver,lele 🐲,https://twitter.com/lenotheruniver/status/2001274575724966202,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:51:59 +0000 2025,1956207752696721408,akulahR_,@awwwatut LAP😭😭😭😭 samsung tu emang samsung galaxy ada series Z series A series J series M ( udh punah),https://twitter.com/akulahR_,𝓡.,https://twitter.com/akulahR_/status/2001274173856034847,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:51:24 +0000 2025,1867362178233450496,joliej0yy,@tanyakanrl termasuk awet. kalo buat kamera ip ok sih. aku pake samsung dari 2022 awet bgt. tapi gatau kenapa kameranya kaya menurun gitu kualitasnya. beda sama awal2 beli,https://twitter.com/joliej0yy,joyy,https://twitter.com/joliej0yy/status/2001274025058971991,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:51:19 +0000 2025,2509151819,Just_2_Random,@gimpmask666 @MCDesmondSparrs @notsurerightnah @Pirat_Nation Samsung,https://twitter.com/Just_2_Random,Pearl8520,https://twitter.com/Just_2_Random/status/2001274004158439826,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:50:08 +0000 2025,1152437175587241985,sbyfess,"-rek hpmu opo? Hpku samsung note 10+ keluaran 6thn lalu tapi sek enak gawenane, cuma gaoleh update OS wesan. Pengen ganti tapi eman2 duwit e wkwk",https://twitter.com/sbyfess,🦈 SUROBOYOFESS 🐊,https://twitter.com/sbyfess/status/2001273706048332163,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:49:59 +0000 2025,1665697105095147526,Becky_Becky20,@Vanessamacheso @CeoKayange1 😂😂😂😂ndufunika limbikile Samsung uyoyo zazipepese one day😂🕯️,https://twitter.com/Becky_Becky20,Abiti Karim✌️💙,https://twitter.com/Becky_Becky20/status/2001273670367420641,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:49:44 +0000 2025,1159467455015555072,MyronHaru,@treasuremenfess Samsung ultra,https://twitter.com/MyronHaru,al,https://twitter.com/MyronHaru/status/2001273608468107391,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:49:33 +0000 2025,2388383442,eunccaem,"@Cnaeyeon @thebloomiest SUNGHOON GA SIH, HP NYA SAMSUNG",https://twitter.com/eunccaem,3️⃣ 𝐔 𝒩 𝐂 h 🅰️ e 🍒🐥🍷,https://twitter.com/eunccaem/status/2001273562548859295,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:49:17 +0000 2025,1956207752696721408,akulahR_,@awwwatut Lapppp😭 emang harus samsung apa yg km maksut😭 kalo ada j2 prime pun bisa foto sama harry kan samsung😭,https://twitter.com/akulahR_,𝓡.,https://twitter.com/akulahR_/status/2001273492235604291,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:46:11 +0000 2025,1956207752696721408,akulahR_,@awwwatut Boleh apapun penting samsung lap,https://twitter.com/akulahR_,𝓡.,https://twitter.com/akulahR_/status/2001272715794428245,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:44:07 +0000 2025,1731203207664410624,lilyypeachh,ehh ak punya hp samsung tapi dh jelek anjir samsung j5 emg boleh kh?! https://t.co/OiDd229Hd6,https://twitter.com/lilyypeachh,olap aja🌷,https://twitter.com/lilyypeachh/status/2001272194228514892,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:42:26 +0000 2025,1378734931,queenatyjh,"@anwgelica_ @Xwn__207 @hanibani00 Yuk bisa yuk dd, nanti kamu bisa jalan-jalan ke Bali, Jogja, dll. Ada acara Samsung yg Ji Chang Wook liburan di Indonesia. Semoga next kamu ya yg di kasih liburan ke Indonesia sama Samsung😭☺️",https://twitter.com/queenatyjh,NA | Woojin✨,https://twitter.com/queenatyjh/status/2001271770519847031,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:41:49 +0000 2025,1694936574616838144,wayzxbacks,"Alasan mau beli iphone cuma biar bisa konsul sama chatgpt ga pake lemot. Sebel bgt di samsung lemot, kalo pake ipad cepet. Padahal emailnya sama😭",https://twitter.com/wayzxbacks,Hani,https://twitter.com/wayzxbacks/status/2001271616056299609,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:33:04 +0000 2025,1487057283582357508,joyturtlerabbit,"@akhichanyeol Yess samsung bisa play video bersamaan, kalo spotify gue premium tu gue play spotify sama sh, kadang nonton yt juga😭🫶🏻 kalo pake earphone pun bisa pilih aplikasi mana yg didengar lewar earphone😭😭😭 fitur2 samsul tu ajaib tapi tersembunyi😭🤏🏻",https://twitter.com/joyturtlerabbit,🍒ʎoſ,https://twitter.com/joyturtlerabbit/status/2001269412607959136,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
Wed Dec 17 12:32:07 +0000 2025,1893636352413184000,blushmoonmatcha,"@lynjth_ andro aja kak tp samsung, samsungku ga pake anti gores udh jtuh beberapa kali wkwkwk",https://twitter.com/blushmoonmatcha,panggil aja non,https://twitter.com/blushmoonmatcha/status/2001269175508201725,Yesterday at 18:45,https://x.com/search?q=%22samsung%22%20lang%3Aid%20until%3A2025-12-18%20since%3A2023-01-01&src=typed_query&f=live
